energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.389499864611232,2.414471646363844,2.4131233869826625,0.008050627663210151,0.0542570580920214,0.017200415190004013,2.4056982993192464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4682
0.0133,2.38950293858388,2.4144747827340076,2.4131265930117456,0.008050648692947684,0.05425730203689212,0.01720048546537529,2.405701438109878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0265,2.389512068375958,2.4144840978466924,2.413136115018677,0.00805071115050488,0.05425802656085172,0.017200694185315068,2.405710760413776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0398,2.3895273927736564,2.4144997332994302,2.4131520977617,0.008050815981085048,0.054259242678594125,0.017201044522532634,2.405726407944929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0531,2.389548866489872,2.4145216428761582,2.4131744940246573,0.008050962867756946,0.05426094679767919,0.017201535441468085,2.405748334463562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0664,2.389576490595977,2.4145498276563813,2.413203304948019,0.008051151807877925,0.05426313900516975,0.01720216696628745,2.405776541066792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0796,2.389609989559399,2.4145840064980897,2.4132382431903583,0.00805138090439185,0.05426579743776953,0.017202932797528065,2.405810746415949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0929,2.3896498726141724,2.414624698949206,2.4132798399009454,0.008051653624318821,0.054268962510781144,0.017203844576450692,2.4058514704881078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1062,2.3896959111000156,2.4146716716832466,2.413327856638234,0.008051968385226618,0.05427261608181741,0.017204897074959015,2.4058984798071656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1194,2.389747691881375,2.414724503152815,2.413381862562108,0.008052322341909465,0.05427672536899749,0.017206080847564045,2.4059513525320995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
